Size,Size_KB,Assoc,Policy,InitProb,IPC,L2_Miss_Rate,Effective_Bypasses,Ineffective_Bypasses
128kB,128,8w,LRURP,50,0.24022241110107087,0.800218,0,0
128kB,128,8w,AdaptiveBypassRP,100,0.2402179724863961,0.800302,362,123
128kB,128,8w,AdaptiveBypassRP,0,0.24020701645804846,0.800202,385,103
128kB,128,8w,AdaptiveBypassRP,20,0.2402013046104508,0.80021,350,118
128kB,128,8w,AdaptiveBypassRP,80,0.24022387771318615,0.800214,362,121
128kB,128,8w,AdaptiveBypassRP,50,0.2402179724863961,0.80021,364,113
256kB,256,8w,LRURP,50,0.24297612990982514,0.725794,0,0
256kB,256,8w,AdaptiveBypassRP,50,0.2430666551052257,0.723441,91,181
256kB,256,8w,AdaptiveBypassRP,100,0.2430836376952044,0.723409,105,187
256kB,256,8w,AdaptiveBypassRP,0,0.2430842520479452,0.723409,112,162
256kB,256,8w,AdaptiveBypassRP,20,0.2430666551052257,0.723353,91,189
256kB,256,8w,AdaptiveBypassRP,80,0.2430801336685682,0.723314,121,194
512kB,512,8w,AdaptiveBypassRP,80,0.2696891282016063,0.100735,66,176
512kB,512,8w,AdaptiveBypassRP,20,0.2697097636331934,0.10066,69,132
512kB,512,8w,AdaptiveBypassRP,0,0.2696870370593449,0.100895,57,85
512kB,512,8w,AdaptiveBypassRP,100,0.2696951228192746,0.100751,62,195
512kB,512,8w,LRURP,50,0.26965836890482614,0.101388,0,0
512kB,512,8w,AdaptiveBypassRP,50,0.26970716331557404,0.100779,63,159
1MB,1024,8w,LRURP,50,0.27263953895916393,0.037826,0,0
1MB,1024,8w,AdaptiveBypassRP,50,0.27263953895916393,0.037826,0,135
1MB,1024,8w,AdaptiveBypassRP,80,0.27263929805157855,0.03783,0,164
1MB,1024,8w,AdaptiveBypassRP,20,0.27263953895916393,0.037834,0,106
1MB,1024,8w,AdaptiveBypassRP,0,0.27263953895916393,0.037826,0,0
1MB,1024,8w,AdaptiveBypassRP,100,0.27263805297163635,0.037857,0,180
