
---------- Begin Simulation Statistics ----------
final_tick                                   68597000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  97782                       # Simulator instruction rate (inst/s)
host_mem_usage                                 645088                       # Number of bytes of host memory used
host_op_rate                                   178594                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.51                       # Real time elapsed on the host
host_tick_rate                              133711863                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       50138                       # Number of instructions simulated
sim_ops                                         91614                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000069                       # Number of seconds simulated
sim_ticks                                    68597000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     53626                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    40917                       # number of cc regfile writes
system.cpu.committedInsts                       50138                       # Number of Instructions Simulated
system.cpu.committedOps                         91614                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.368184                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.368184                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                      1737                       # number of floating regfile reads
system.cpu.fp_regfile_writes                      805                       # number of floating regfile writes
system.cpu.idleCycles                           22026                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  682                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                    10873                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.479402                       # Inst execution rate
system.cpu.iew.exec_refs                         5141                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2123                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    2171                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  3413                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  0                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                81                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2575                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              105940                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  3018                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               912                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                101484                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     13                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                   658                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    596                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                   675                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             14                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          598                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             84                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    143001                       # num instructions consuming a value
system.cpu.iew.wb_count                        100695                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.589234                       # average fanout of values written-back
system.cpu.iew.wb_producers                     84261                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.467900                       # insts written-back per cycle
system.cpu.iew.wb_sent                         100972                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   134880                       # number of integer regfile reads
system.cpu.int_regfile_writes                   86571                       # number of integer regfile writes
system.cpu.ipc                               0.730896                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.730896                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               661      0.65%      0.65% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 95682     93.44%     94.08% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    6      0.01%     94.09% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    30      0.03%     94.12% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 136      0.13%     94.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     94.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     94.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     94.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     94.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     94.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     94.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     94.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     94.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     94.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  164      0.16%     94.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.01%     94.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   78      0.08%     94.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 248      0.24%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     94.74% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead                 3081      3.01%     97.75% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite                1655      1.62%     99.37% # Type of FU issued
