
---------- Begin Simulation Statistics ----------
final_tick                                  436617000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  11687                       # Simulator instruction rate (inst/s)
host_mem_usage                                 641248                       # Number of bytes of host memory used
host_op_rate                                    23896                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     2.89                       # Real time elapsed on the host
host_tick_rate                              151001009                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       33790                       # Number of instructions simulated
sim_ops                                         69094                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000437                       # Number of seconds simulated
sim_ticks                                   436617000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     22563                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    53167                       # number of cc regfile writes
system.cpu.committedInsts                       33790                       # Number of Instructions Simulated
system.cpu.committedOps                         69094                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                              12.921515                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                        12.921515                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                      1737                       # number of floating regfile reads
system.cpu.fp_regfile_writes                      805                       # number of floating regfile writes
system.cpu.idleCycles                           21852                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  655                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     4657                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.043592                       # Inst execution rate
system.cpu.iew.exec_refs                       398552                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2135                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                   98444                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                 19789                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  1                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                84                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2586                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               82881                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                396417                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               835                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                455651                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    331                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 61159                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    579                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 62355                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             17                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          576                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             79                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                     68172                       # num instructions consuming a value
system.cpu.iew.wb_count                         77846                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.849440                       # average fanout of values written-back
system.cpu.iew.wb_producers                     57908                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.178293                       # insts written-back per cycle
system.cpu.iew.wb_sent                          78117                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   872316                       # number of integer regfile reads
system.cpu.int_regfile_writes                   69923                       # number of integer regfile writes
system.cpu.ipc                               0.077390                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.077390                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               650      0.14%      0.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 56384     12.35%     12.49% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    6      0.00%     12.50% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    30      0.01%     12.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 136      0.03%     12.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     12.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     12.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     12.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     12.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     12.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     12.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     12.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     12.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     12.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  164      0.04%     12.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.00%     12.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   78      0.02%     12.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 248      0.05%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     12.64% # Type of FU issued
