
---------- Begin Simulation Statistics ----------
final_tick                               166419861000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  80440                       # Simulator instruction rate (inst/s)
host_mem_usage                                 669080                       # Number of bytes of host memory used
host_op_rate                                   124063                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1708.86                       # Real time elapsed on the host
host_tick_rate                               97386491                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   137460169                       # Number of instructions simulated
sim_ops                                     212005897                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.166420                       # Number of seconds simulated
sim_ticks                                166419861000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  64428324                       # number of cc regfile reads
system.cpu.cc_regfile_writes                106052089                       # number of cc regfile writes
system.cpu.committedInsts                   137460169                       # Number of Instructions Simulated
system.cpu.committedOps                     212005897                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.210677                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.210677                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    579302                       # number of floating regfile reads
system.cpu.fp_regfile_writes                     1960                       # number of floating regfile writes
system.cpu.idleCycles                           48692                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                 1512                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 10789495                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.274892                       # Inst execution rate
system.cpu.iew.exec_refs                     63520713                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   21557789                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                33657128                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              41965514                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 49                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               179                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             21559938                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           212183261                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              41962924                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts              2826                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             212167377                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                1147763                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  1908                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   2976                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2122265                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            667                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         1298                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect            214                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 178633606                       # num instructions consuming a value
system.cpu.iew.wb_count                     212132948                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.855427                       # average fanout of values written-back
system.cpu.iew.wb_producers                 152808066                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.274685                       # insts written-back per cycle
system.cpu.iew.wb_sent                      212166331                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                328143096                       # number of integer regfile reads
system.cpu.int_regfile_writes               179814302                       # number of integer regfile writes
system.cpu.ipc                               0.825984                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.825984                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              3014      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             148644113     70.06%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   17      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    43      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 162      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                   16      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  740      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                  278      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 442      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     70.06% # Type of FU issued
