
---------- Begin Simulation Statistics ----------
final_tick                               150117878000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  99668                       # Simulator instruction rate (inst/s)
host_mem_usage                                 673160                       # Number of bytes of host memory used
host_op_rate                                   182903                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2981.72                       # Real time elapsed on the host
host_tick_rate                               50346107                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   297181585                       # Number of instructions simulated
sim_ops                                     545365716                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.150118                       # Number of seconds simulated
sim_ticks                                150117878000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 257329732                       # number of cc regfile reads
system.cpu.cc_regfile_writes                186416910                       # number of cc regfile writes
system.cpu.committedInsts                   297181585                       # Number of Instructions Simulated
system.cpu.committedOps                     545365716                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.505139                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.505139                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                 225321969                       # number of floating regfile reads
system.cpu.fp_regfile_writes                181879374                       # number of floating regfile writes
system.cpu.idleCycles                          462224                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1291240                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 50512415                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.729684                       # Inst execution rate
system.cpu.iew.exec_refs                    119237826                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5387748                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 3529799                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             116075339                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 24                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            243727                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5638545                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           573297922                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             113850078                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2437863                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             559892320                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 937530                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1235496                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 871433                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2193376                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           3342                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        39586                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1251654                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 692523645                       # num instructions consuming a value
system.cpu.iew.wb_count                     557822023                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.658591                       # average fanout of values written-back
system.cpu.iew.wb_producers                 456089952                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.715893                       # insts written-back per cycle
system.cpu.iew.wb_sent                      558138790                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                577104000                       # number of integer regfile reads
system.cpu.int_regfile_writes               319698364                       # number of integer regfile writes
system.cpu.ipc                               1.979655                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.979655                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            722735      0.13%      0.13% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             335019046     59.58%     59.71% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                34905      0.01%     59.71% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                   639      0.00%     59.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd            35119544      6.25%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                79714      0.01%     65.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     65.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                75142      0.01%     65.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   24      0.00%     65.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 1183      0.00%     65.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              135721      0.02%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd        35515009      6.32%     72.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     72.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     72.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          111159      0.02%     72.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             836      0.00%     72.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     72.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult       35568959      6.33%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt             32      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.67% # Type of FU issued
