
---------- Begin Simulation Statistics ----------
final_tick                               150563208000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 103994                       # Simulator instruction rate (inst/s)
host_mem_usage                                 673156                       # Number of bytes of host memory used
host_op_rate                                   190843                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2857.67                       # Real time elapsed on the host
host_tick_rate                               52687463                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   297181572                       # Number of instructions simulated
sim_ops                                     545365690                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.150563                       # Number of seconds simulated
sim_ticks                                150563208000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 257328076                       # number of cc regfile reads
system.cpu.cc_regfile_writes                186415317                       # number of cc regfile writes
system.cpu.committedInsts                   297181572                       # Number of Instructions Simulated
system.cpu.committedOps                     545365690                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.506637                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.506637                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                 225322071                       # number of floating regfile reads
system.cpu.fp_regfile_writes                181879029                       # number of floating regfile writes
system.cpu.idleCycles                          465764                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1290994                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 50512106                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.718645                       # Inst execution rate
system.cpu.iew.exec_refs                    119237456                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5387773                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 3556065                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             116075018                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 24                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            243412                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5638697                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           573292229                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             113849683                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2436229                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             559891149                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 939141                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1225265                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 871445                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2184775                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           3339                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        39595                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1251399                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 692529279                       # num instructions consuming a value
system.cpu.iew.wb_count                     557821929                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.658587                       # average fanout of values written-back
system.cpu.iew.wb_producers                 456090811                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.704902                       # insts written-back per cycle
system.cpu.iew.wb_sent                      558138423                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                577101702                       # number of integer regfile reads
system.cpu.int_regfile_writes               319698560                       # number of integer regfile writes
system.cpu.ipc                               1.973799                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.973799                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            722737      0.13%      0.13% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             335017430     59.58%     59.71% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                34905      0.01%     59.71% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                   633      0.00%     59.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd            35119333      6.25%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     65.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                79714      0.01%     65.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     65.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                75148      0.01%     65.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   24      0.00%     65.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 1183      0.00%     65.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              135701      0.02%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd        35515013      6.32%     72.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     72.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     72.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          111159      0.02%     72.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             836      0.00%     72.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     72.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult       35568987      6.33%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt             32      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.67% # Type of FU issued
