
---------- Begin Simulation Statistics ----------
final_tick                               203635170000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  83429                       # Simulator instruction rate (inst/s)
host_mem_usage                                 669080                       # Number of bytes of host memory used
host_op_rate                                   196453                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1935.49                       # Real time elapsed on the host
host_tick_rate                              105211018                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   161477007                       # Number of instructions simulated
sim_ops                                     380232841                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.203635                       # Number of seconds simulated
sim_ticks                                203635170000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  69502851                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 39201245                       # number of cc regfile writes
system.cpu.committedInsts                   161477007                       # Number of Instructions Simulated
system.cpu.committedOps                     380232841                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.261078                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.261078                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                 569761069                       # number of floating regfile reads
system.cpu.fp_regfile_writes                277285490                       # number of floating regfile writes
system.cpu.idleCycles                           47734                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               165434                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 13901563                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.873860                       # Inst execution rate
system.cpu.iew.exec_refs                     55883142                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   11399309                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles               120352378                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              44812673                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 56                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                83                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             11400200                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           384378720                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              44483833                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            657385                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             381583860                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                1310788                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                203301                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 166274                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2171541                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             33                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         1359                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         164075                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 590929812                       # num instructions consuming a value
system.cpu.iew.wb_count                     381221910                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.561750                       # average fanout of values written-back
system.cpu.iew.wb_producers                 331954711                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.872083                       # insts written-back per cycle
system.cpu.iew.wb_sent                      381255429                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                178837593                       # number of integer regfile reads
system.cpu.int_regfile_writes                78502416                       # number of integer regfile writes
system.cpu.ipc                               0.792972                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.792972                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            166928      0.04%      0.04% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             158088471     41.36%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   18      0.00%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    28      0.00%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 173      0.00%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     41.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd             81264802     21.26%     62.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     62.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu             37684150      9.86%     72.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.00%     72.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt             10813734      2.83%     75.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc            21627382      5.66%     81.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     81.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     81.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift           16384130      4.29%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     85.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     85.29% # Type of FU issued
